File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\DbUtil.java,383,258,192,16,64,5,61,323,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\Email.java,22,6,4,1,7,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\FileUtils.java,127,93,69,15,22,0,12,52,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\Info.java,68,38,30,0,20,0,10,44,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\MiscUtils.java,17,3,2,0,5,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\PlaySound.java,46,26,21,0,11,1,9,43,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlAboutView.fxml,61,58,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlCheckSumView.fxml,104,101,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlCloudView.fxml,24,21,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlDatabaseView.fxml,134,131,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlDownloadsView.fxml,79,76,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlLoginView.fxml,73,70,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlMainView.fxml,866,863,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlPreferencesView.fxml,203,200,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlSchedulerView.fxml,207,204,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlTutorialView.fxml,177,174,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\OCMediaPlayer.fxml,50,47,0,0,3,0,0,0,0,0
